OTI0NTQ3Nzc4NDg4NTkwNjcwMQ==,6b12b402d75,weedle,-33.9875107514,151.236155045,2016-07-23 12:47:09.268000,2016-07-23 22:35:14.363000
NTA4Njg1NjU5Nzc2Nzk4NzE2NQ==,6b12b404d0f,psyduck,-33.9890273074,151.241802266,2016-07-23 12:36:09.564000,2016-07-23 22:35:23.057000
MTM2NDE2NjM1ODI1MDkxNjIzMDE=,6b12b404d0d,weedle,-33.989050478,151.241893352,2016-07-23 12:45:55.796000,2016-07-23 22:35:23.060000
MTQ0MjEzOTQyNzYyNjA0MDg2ODU=,6b12b404d15,weedle,-33.9892101824,151.241893352,2016-07-23 12:44:11.380000,2016-07-23 22:35:23.062000
MTMwNDI4NDU3NzAwOTgyMDcxOTc=,6b12b41b653,cubone,-33.9909594047,151.23998056,2016-07-23 12:46:24.652000,2016-07-23 22:35:24.591000
MTgxMjk1ODI4Njc1Nzk1Njg1MjU=,6b12b41b73d,venonat,-33.9913379893,151.240527069,2016-07-23 12:42:59.444000,2016-07-23 22:35:24.593000
MTE3NTM5ODM0NjQ1NjE2OTA5ODk=,6b12b41b7ad,rattata,-33.9910392544,151.23998056,2016-07-23 12:45:00.692000,2016-07-23 22:35:24.596000
MTMzNjU5Nzc0NjU0MjcwNzY0NjE=,6b12b41b6ff,oddish,-33.99100575,151.240162729,2016-07-23 12:46:17.916000,2016-07-23 22:35:24.598000
MTE2NzU0OTM4NzY4NjQ5NTk3,6b12b41c8ab,krabby,-33.9910883802,151.237976707,2016-07-23 12:36:24.140000,2016-07-23 22:35:26.062000
MTQ3MjgwNjUxODI4ODU3MjY2NTM=,6b12b41cf39,slowpoke,-33.9906994619,151.237703457,2016-07-23 12:43:34.020000,2016-07-23 22:35:26.064000
MTY1ODY5MDI3MDE3NjA4MDkxODE=,6b12b41cf01,pidgeotto,-33.9903440422,151.23724804,2016-07-23 12:39:32.740000,2016-07-23 22:35:27.555000
MTQ3MjgwNjUxODI4ODU3MjY2NTM=,6b12b41cf39,slowpoke,-33.9906994619,151.237703457,2016-07-23 12:43:34.020000,2016-07-23 22:35:27.558000
MjE3NzU3NjI0OTAyNDEzMDA2MQ==,6b12b41d181,psyduck,-33.9893344478,151.235790716,2016-07-23 12:36:13.444000,2016-07-23 22:35:29.030000
OTcxODEyMzYxMTU1NjU4MzA4NQ==,6b12b403d7b,pidgey,-33.9833505908,151.237065874,2016-07-23 12:44:51.244000,2016-07-23 22:35:34.904000
MTEzNzUyODM2MjU1Nzc3MzE1NjU=,6b12b406633,zubat,-33.9839422618,151.242530954,2016-07-23 12:38:49.644000,2016-07-23 22:35:37.837000
NzQ4NTIwODczNDU2NTc0MTkzMw==,6b12b40688f,zubat,-33.9837465625,151.242075523,2016-07-23 12:47:40.444000,2016-07-23 22:35:37.840000
MTY1NzE3NTc1NDQ4NTE3MDUxOTc=,6b12b4057fb,pidgey,-33.9879449099,151.245081389,2016-07-23 12:37:46.188000,2016-07-23 22:35:42.196000
MTExNjU1MDA5OTU4Njc3MjMxMzM=,6b12b4056b7,eevee,-33.9885221208,151.243897253,2016-07-23 12:48:26.300000,2016-07-23 22:35:42.199000
MTExNjU1MDA5OTU4Njc3MjMxMzM=,6b12b4056b7,eevee,-33.9885221208,151.243897253,2016-07-23 12:48:26.300000,2016-07-23 22:35:43.676000
MTI5MTI1MjU2MDYwMTI3MTMwNTM=,6b12b41b74b,oddish,-33.9915672056,151.240800325,2016-07-23 12:45:18.444000,2016-07-23 22:35:46.593000
